passenger1Id,passenger2Id,numberOfFlightsTogether
11176,11103,4
4069,1482,4
843,845,4
884,899,4
859,819,5
3742,3787,4
5127,5133,6
5310,4678,4
5027,5095,4
4575,5314,4
2511,4053,9
4359,9988,4
10110,9418,4
629,3115,5
11046,11049,6
2226,5283,4
10440,525,6
8363,6084,8
1636,1611,5
2816,1696,5
437,1465,5
3907,11099,4
5480,1057,4
6460,2485,5
8434,2035,4
7611,11562,5
9532,2467,4
6056,13194,4
1145,1163,6
7191,1388,4
6205,815,4
1544,3440,6
5946,8933,5
10325,6813,4
4319,8961,4
6813,6418,4
5584,10334,4
2000,582,5
1263,6165,4
4601,4679,4
7448,3665,4
6084,10349,4
5275,8382,4
1849,9014,7
9057,9069,7
4171,7909,4
6486,1050,5
2392,8604,4
4121,4142,4
286,292,9
9096,9051,5
4150,5905,5
2589,3336,4
1138,4827,4
2392,2318,4
7141,7110,4
6585,6580,6
5440,950,5
6800,5603,5
12493,12408,4
3491,7243,4
12403,7121,4
7243,10572,4
10654,9238,4
8095,10705,4
2690,86,4
6056,2640,4
4205,4212,8
12408,12411,4
4925,4944,4
7869,3267,4
10779,9645,4
10778,10744,4
10701,10791,4
10756,10731,5
8729,10744,4
3028,174,7
2012,191,5
2012,3187,6
10764,3064,5
191,497,5
10483,10409,4
10429,10478,4
10418,10428,4
10418,10496,5
10445,10409,4
1537,318,4
8035,12549,4
2608,2674,5
2667,1598,6
2667,2699,8
3933,3941,5
3941,1544,4
369,2699,4
4320,4307,4
4057,4398,5
10445,10434,4
3933,3901,4
659,677,7
4435,6725,4
1051,341,5
8230,272,4
8519,8577,4
6565,8270,5
4897,3405,4
7508,8280,4
393,8232,4
7713,117,4
4862,756,6
4012,4011,9
4053,4059,7
2100,10900,6
8050,712,4
3078,210,4
338,311,4
7327,2392,4
3235,3910,4
375,339,4
375,384,5
2667,3104,5
1298,331,7
2245,2243,6
2298,3548,4
4491,4496,4
1673,1576,5
2469,2492,4
9374,9382,4
9326,9400,4
9791,2797,5
9951,9769,4
9995,9977,5
4158,8690,4
2465,2476,4
376,1038,4
366,740,6
1095,355,5
797,362,4
1021,1035,6
11311,9840,4
12146,2868,5
6460,5216,4
1558,1611,4
12800,3662,4
4212,9351,4
9636,4212,4
13640,4335,4
12551,7727,4
9083,5332,5
6584,6127,4
11211,12338,6
798,10684,4
7643,9442,4
5007,42,4
13564,6733,4
8552,13163,4
11587,2106,4
2857,6733,5
6293,6323,5
13163,2588,4
9745,9749,4
11878,11883,5
42,2588,5
631,2403,5
2021,1976,4
2107,2189,4
284,219,5
2158,2140,4
2135,2169,4
2148,2188,4
2142,2122,4
10015,482,4
12727,12794,6
15071,15061,4
5476,1482,4
4012,5471,5
5423,5466,4
5432,5463,5
5494,5463,4
5463,5481,4
4373,5420,4
5456,5429,4
5486,4388,5
5500,5499,4
5500,5439,4
5412,4066,5
915,4009,5
4364,5421,5
5479,4066,5
5429,5458,6
8179,8113,4
3255,3331,4
371,1670,4
1138,10083,6
6987,10394,5
5530,1296,4
1762,6053,5
11201,7677,4
6548,6024,4
614,7677,5
4318,4580,6
1283,4689,4
4364,5132,4
10083,1064,4
10083,4580,4
9659,1064,4
12232,7864,5
1555,8365,4
12515,9421,4
8386,3947,4
7318,7389,4
9893,3581,4
8642,5072,5
11214,3181,4
14751,14776,4
14714,14703,4
14763,14741,4
1734,1790,5
2214,2270,4
2232,2203,4
8042,2928,4
8127,8078,4
8127,711,4
8533,8845,4
8044,8566,4
3896,3798,4
13621,13385,4
11307,311,5
12195,12170,5
3405,7350,4
5405,1977,4
6336,3078,4
13668,1977,4
6540,6598,4
13657,11198,5
7812,8910,4
9684,9640,6
5540,9511,4
2182,3330,5
5590,3330,4
9501,7657,6
205,3180,7
275,2573,4
2521,2531,5
2600,2563,5
1300,255,4
3123,255,6
299,684,6
3104,684,6
8224,8206,5
1831,75,4
12169,11716,4
1232,1264,4
407,4034,4
9624,9664,5
9690,9656,4
388,1089,7
388,9602,4
3844,9679,5
5383,4564,4
9618,300,4
3120,438,6
231,264,7
8261,5465,4
4032,4377,6
11577,8767,4
5565,5593,4
2004,121,6
10024,9495,4
10097,9725,4
10022,9389,4
7636,9049,4
9049,8882,4
11332,9111,5
12100,11315,5
11378,9712,5
3462,9053,4
8211,8314,4
5857,1196,4
10627,10908,4
10627,4711,4
9821,5390,4
4531,4534,4
3847,3824,5
4917,9862,4
4332,4035,5
4346,4353,4
11311,11327,4
14090,14067,4
3766,5497,5
3588,4541,4
855,5056,5
3611,9282,4
10722,3522,4
4774,5071,4
768,5259,4
11834,10799,4
6002,6066,4
7390,7387,4
6050,6019,4
4983,3584,4
247,6418,4
10899,9376,6
11034,6731,4
6046,6009,4
1548,5356,4
1548,147,4
4945,4285,7
6032,2728,4
75,2457,4
3642,5694,4
5912,5741,4
2422,5671,4
878,4876,6
3461,3410,5
10954,10212,7
11876,5438,5
6880,5954,4
5993,6858,4
4373,6016,4
2773,6853,4
2773,6017,5
6047,5443,6
4969,6001,6
6869,5769,4
6809,5769,4
6884,6049,4
4481,6827,4
6825,6866,5
5724,6830,4
6824,6469,5
6408,6469,6
324,6832,4
10535,10644,4
515,522,4
578,508,6
528,574,4
510,536,4
8621,11683,4
1142,6001,4
3608,11717,5
3448,8510,4
6591,6246,5
7777,7832,4
610,276,4
10024,5943,4
10015,7983,4
10460,9385,4
11067,5162,5
4816,6286,4
10757,4147,5
7838,7004,4
4945,1867,4
4572,1129,4
7017,3679,4
993,2754,6
940,4377,4
4820,4391,4
9682,1715,4
3640,2345,5
6857,8983,5
2841,8793,4
2012,182,4
182,2090,4
2182,5092,4
3661,2072,6
8516,1265,4
11404,11435,4
12578,12557,4
459,416,4
3385,4069,4
4264,4205,5
5434,3937,5
3208,4295,4
4269,4205,5
3963,2544,4
391,3998,5
3861,2544,5
4656,3991,4
4967,4609,4
4967,4646,4
4988,5460,4
5422,3920,4
5420,3991,4
2560,5450,5
1415,1414,4
3311,3317,4
13957,13948,4
3872,9285,4
8892,210,4
2717,9033,4
3818,5325,4
2651,3999,4
4511,2513,5
3957,380,5
5021,10702,4
4070,382,4
6087,5456,5
5989,1569,7
5819,1053,4
1865,1867,4
1867,1816,4
3524,9725,4
6434,8566,4
2713,2766,4
10909,13623,4
13618,13680,5
6431,10515,4
3439,3483,4
3479,3440,4
641,2123,5
4435,4459,4
3479,3451,6
7421,7454,4
15130,15126,4
15112,11290,4
4056,3794,4
1954,4551,4
1085,7036,4
8315,12014,4
5651,5656,4
6145,6135,4
8132,3950,4
901,1230,4
3418,6750,4
3950,3735,4
5505,6750,4
7601,2326,5
2776,7770,6
5584,2926,4
1208,6707,5
7726,9433,4
1775,2960,5
2378,28,4
2500,2249,5
10420,3492,4
2488,4034,4
1226,1236,4
7001,8105,5
1142,5235,5
1142,4792,4
1024,9441,4
5041,3266,4
8948,8970,4
8904,8970,4
8934,8965,4
8969,8983,7
9368,9321,4
4071,2712,4
615,7346,4
926,5757,4
993,918,4
11834,10326,4
8808,10320,4
916,937,4
8441,7831,4
10837,12018,4
9376,9370,4
1197,584,5
13270,13218,4
4335,7877,4
8006,8509,4
7085,7014,4
6864,8038,4
11957,2560,4
4798,8353,4
7832,7346,4
8365,3919,4
9638,9668,4
1189,6084,5
8427,4978,4
360,9906,6
10190,8594,4
2949,611,4
1327,6066,4
1157,5295,5
4272,10315,4
9544,10868,4
2545,4059,5
2901,2427,4
3569,2904,5
2963,2405,4
2458,3679,4
2335,912,4
2441,2405,7
972,920,5
2273,3537,5
1313,1321,5
7662,7039,8
905,3760,5
7039,1613,5
6805,6061,7
9069,4552,6
7747,10283,5
8132,6001,5
12570,9171,4
12516,3615,5
12553,10812,5
13462,2065,4
12284,11559,4
6616,9369,4
5240,12594,5
501,741,4
1143,11255,4
1951,1911,4
1940,1950,4
1940,1908,4
1914,1911,5
2811,11723,5
719,701,5
761,758,5
751,727,5
5319,5314,4
869,6975,5
1155,5393,4
2743,1888,4
6983,5074,4
9828,1464,4
11919,10975,4
11954,8579,4
4494,1218,4
2718,7349,5
2851,8040,4
1464,1164,6
5416,11923,4
8040,2097,4
8539,5711,5
3524,4415,4
1603,1606,4
266,2278,4
1456,1848,4
4944,4930,6
4593,1617,5
5602,5696,5
5645,4832,4
7803,7846,4
7829,7810,5
8387,7810,4
6881,6067,4
8255,8291,5
5594,8228,4
5549,4339,4
6867,5450,4
9413,2476,4
2476,11652,4
9317,5314,4
258,5056,5
258,4056,5
8299,3223,4
1296,11007,4
8266,241,5
6827,10253,5
2489,9451,4
1064,5358,4
10173,615,4
8544,11753,4
9002,9099,4
5260,2518,4
4846,8614,4
5760,1352,4
8596,8679,10
290,8294,5
6289,5533,4
10899,10862,4
6165,2976,5
8511,7834,4
7205,4362,4
7205,10880,4
2214,10880,5
2043,9707,4
2197,4247,4
4279,3196,5
5949,5911,7
5716,5735,4
5989,5953,4
1077,1528,5
5143,2635,4
5143,2565,4
226,1261,4
3174,374,5
670,2700,4
399,752,5
415,419,4
1261,752,4
3642,4874,4
6974,6908,4
6983,6911,4
6975,6930,4
7590,7162,5
9517,9568,5
1005,478,4
3653,3691,5
2143,942,4
3030,8989,4
5758,5703,5
5738,5708,5
11115,11135,4
11148,11193,4
11196,11198,4
11114,11140,4
11110,11125,4
11145,11119,4
7340,7329,4
4636,4524,5
6666,4645,4
2385,12089,4
5319,4940,4
6072,13970,4
10808,4562,4
1138,8015,4
3065,13753,6
1961,12019,4
11879,12371,4
13195,10181,4
11528,10053,4
11889,6803,4
5742,5726,4
11163,11132,4
11122,11193,4
894,813,4
812,3739,4
881,833,4
5310,229,5
4223,5092,5
5048,4208,4
5076,4224,4
7616,4404,4
7030,8228,4
2612,9482,4
366,3409,6
3339,8363,4
2783,2759,8
3041,3015,7
2754,3046,5
1189,1177,5
5787,12160,4
9252,13819,4
9265,3054,5
3907,2485,6
11513,1057,5
3463,4221,4
5885,53,6
6372,10306,4
10327,10396,5
8441,4850,4
8411,5509,4
6020,8093,6
6020,8037,6
3735,2785,4
7777,12204,4
1096,5803,4
262,2734,4
10167,12563,4
5080,1077,4
6345,8283,5
6486,7034,4
7001,2124,4
249,276,4
2458,292,4
2124,760,4
4121,7034,5
340,4711,4
8703,8786,6
8288,1849,4
5051,170,5
2162,6585,4
2645,273,4
10604,6205,4
6953,11910,5
12439,2669,4
6548,4200,4
8529,11962,4
636,9696,4
2937,9282,5
212,9223,4
10778,10762,4
10778,10703,4
4774,2024,7
10762,10786,4
5522,1822,6
5522,10795,4
10727,10728,4
2024,61,6
392,3064,5
10714,10774,4
4034,2090,5
10731,6729,4
9699,9645,7
2291,4649,4
4988,4939,4
3285,3225,5
10788,2345,4
10476,10402,4
10481,10402,4
10481,10439,4
10422,10403,5
8923,2953,4
8656,1368,4
8142,7948,4
11308,3631,4
7674,6678,4
3966,3913,4
3968,3929,5
2655,314,4
314,1247,6
2699,3913,5
4316,4013,7
3988,3959,4
4329,4010,5
3928,7671,4
319,3101,4
2437,831,4
2446,6931,4
2446,3660,4
3924,2123,5
4897,3172,4
8290,8270,4
3286,3590,6
6052,6084,5
813,4850,5
7799,10107,4
9466,2926,4
6707,2926,9
6707,7768,5
4042,4066,7
3837,10271,5
3837,4641,5
8912,7706,5
4075,4053,4
4088,4009,4
9296,7094,4
7937,6689,4
2957,3955,4
11872,8196,4
14644,14673,4
8196,11571,7
382,324,5
10561,10517,4
3518,3598,5
2298,2278,5
1243,3104,5
2285,2242,5
3556,3532,5
2479,2463,4
2408,2433,7
9326,9394,4
8662,8690,6
368,1056,7
768,355,5
1045,362,4
701,360,4
1002,778,4
1073,1023,5
392,1044,4
751,395,4
5812,3931,4
3609,4765,4
11744,5361,4
2927,2099,4
2041,2868,4
4450,8661,4
6460,8551,4
309,751,4
3752,5156,4
5148,5122,4
5612,1733,4
159,6396,4
4137,6166,5
5201,6733,7
8810,7721,5
5754,7099,5
13564,7721,8
2112,6293,6
2857,5634,5
1591,5101,6
4685,13571,5
4685,6067,4
3319,2069,4
7114,10205,5
9766,9786,5
11842,11821,5
2994,10205,4
1976,3225,4
3153,3135,4
2116,664,4
2116,2140,4
2145,2179,4
2145,2140,4
2155,2142,4
2182,2136,4
5476,5426,4
5423,4053,6
2941,5439,5
2941,5436,6
2511,1371,9
4309,4083,6
5410,5421,4
5446,5466,4
5446,5443,4
4316,4388,9
5431,5483,4
5471,5414,6
5468,5467,4
5495,5466,6
5486,5483,4
5490,5464,6
1337,2939,10
4013,2939,5
2759,4388,7
5479,4339,5
4395,4388,10
4194,5286,5
5286,5278,4
1173,4786,5
1138,2479,4
7809,4010,4
237,4728,4
5530,6024,4
10058,5132,4
2138,7679,4
1404,2503,4
1404,3432,4
4728,8424,4
4318,241,4
3851,3432,4
10083,728,4
1670,888,5
3275,4217,5
10017,7706,4
12301,3665,4
12385,2545,4
10024,12581,4
10569,264,4
843,879,4
7779,7778,4
9690,1089,5
8642,6146,4
7800,5072,4
12298,1689,4
14751,14718,4
14786,14793,4
14702,14727,4
14793,14770,4
2225,2249,4
2207,2268,5
7165,12146,4
1760,1761,4
1786,1717,4
2266,2267,4
2226,2276,6
2432,8013,4
8142,83,4
8552,8044,4
2425,7900,4
5799,8044,4
932,7187,5
2973,1340,5
11886,6171,5
12354,5836,4
13644,3977,4
9856,13365,4
9864,12119,5
5259,810,4
6560,6595,4
7288,8664,4
4037,8258,4
4076,9640,5
5572,9602,5
9503,10109,4
2570,606,4
205,1300,4
293,3180,6
3104,3146,6
2672,2669,7
3958,288,4
1831,5957,4
4496,11275,4
9621,2097,4
9687,9864,4
1070,624,4
11535,7744,4
13492,13471,5
4455,2697,4
882,3483,4
4933,9602,4
9690,9660,5
4076,5652,4
5383,5652,4
5359,6776,4
9622,9602,5
692,657,4
4416,4402,4
3560,6874,7
5951,5911,4
5905,5970,4
7881,3867,4
9955,6471,4
1860,10015,6
3963,9369,5
5575,5207,4
870,1335,4
11730,11469,4
11393,11370,5
1740,3962,5
13378,435,4
4546,4556,4
4548,4536,4
2153,2186,6
12123,12157,4
10652,11353,5
12555,11290,7
8729,10615,4
1444,1323,4
4353,4336,4
1310,930,4
4075,4336,5
3964,10479,4
2378,2857,4
11388,11359,5
2234,9258,4
6049,6096,7
679,603,7
10899,3117,5
10541,10833,5
11034,1225,5
628,12587,5
6079,6041,4
12173,12130,6
10267,3117,5
1617,4554,5
1966,2581,4
1375,5718,4
9136,9177,4
3413,272,5
2178,281,4
7327,8036,6
6778,10991,4
6872,5761,5
4674,6836,4
4674,324,4
997,5500,4
6878,6809,5
5494,6897,4
4373,4990,4
2773,6874,4
5500,6854,4
6063,6827,4
5977,6408,5
6827,6889,5
6408,2294,4
6829,5771,4
5734,3544,4
14288,3809,4
1613,1789,6
3413,739,6
10329,10767,4
8268,9822,4
9466,12574,4
4630,4668,4
7950,4917,5
7950,10089,5
7772,4713,5
4917,10460,5
2306,3542,4
9523,7962,4
391,459,4
3071,12050,4
2856,1020,4
7222,3859,6
2231,6622,4
2231,8884,5
3754,1434,4
8724,4451,4
182,2945,4
1982,291,4
1982,5127,4
3250,2182,4
6726,6749,4
2268,3858,4
7682,4990,4
3539,3661,4
12557,12544,4
1853,4980,4
4991,4611,4
321,4495,4
5434,4430,4
5367,3670,4
3208,2596,4
4205,4430,4
5053,443,4
3861,3998,5
4542,5455,5
2775,6092,4
4552,2560,4
8810,5942,4
10747,11186,4
6060,11627,4
4293,13440,4
1099,4543,4
311,3999,4
4888,4813,4
7682,6777,4
11883,7837,4
10784,12910,5
4700,8461,4
4700,8068,4
9026,1389,5
8765,9725,4
615,658,4
615,670,4
3411,3476,4
10652,15112,4
1386,1956,4
8158,625,6
7662,5442,4
1646,7618,4
3855,7602,4
2776,7082,5
5411,3330,6
7645,2906,4
441,1432,4
1230,3330,4
1769,5491,4
9067,9026,4
2249,4260,4
3289,3307,4
4092,6857,4
5113,91,4
816,8576,4
866,3468,4
1066,1009,4
4213,4221,5
6777,8563,4
8810,7193,5
4070,2765,5
5041,6673,4
8948,8969,4
8993,8987,4
8935,8965,4
7831,8986,4
8926,8955,4
4169,2712,4
10795,6003,4
615,5505,4
4340,4377,5
4032,4321,4
1981,3953,4
9713,12248,4
6050,7112,4
6050,2902,4
2004,2332,4
9277,5278,4
7885,7837,4
8358,8326,5
7851,7859,4
7861,7869,4
175,119,4
12088,12005,4
4364,3877,4
5991,3554,5
8969,3859,4
7667,4845,4
4211,4252,4
8011,8058,4
9539,3367,4
4092,4543,4
7919,9282,4
8727,8721,4
1709,14077,4
14011,4118,4
7810,7298,4
7866,2926,7
7802,7832,4
6054,6097,5
631,3404,5
7951,9906,5
11272,1464,5
1337,6084,6
11687,953,4
11633,1030,4
2941,4927,6
1327,611,4
1327,8901,4
2225,4610,7
3587,2998,6
141,946,4
2901,2325,7
941,972,5
941,3536,5
2263,3547,5
912,2222,5
3589,2223,5
2293,3510,4
3571,2910,4
3639,2977,4
3635,2977,6
3603,2951,4
2236,2223,7
3802,8363,4
8007,8461,7
726,6882,4
3702,1651,5
1753,11871,4
13627,13636,5
9599,9321,5
7902,6532,4
1033,12594,5
1033,9152,4
10507,5769,4
10507,13636,4
6181,10651,6
9947,9798,4
3357,1146,5
10198,9768,4
1961,1969,4
719,749,6
771,707,5
778,799,5
739,773,5
768,760,6
730,707,5
795,773,7
712,785,5
712,786,6
7111,3405,4
10758,11923,5
9828,11923,4
288,7349,5
288,1164,5
11917,3677,5
1678,5850,6
8114,11275,6
2851,5416,4
8542,2423,5
5055,11923,5
366,1050,4
10478,8078,4
4407,4418,5
5675,5629,4
6857,6067,8
4728,4764,4
7858,7810,4
6060,5464,5
5737,281,8
5456,935,4
8841,5966,4
9703,5314,4
4051,3510,4
258,2489,4
1041,1064,9
7919,3416,6
4217,4260,4
3112,3416,5
6052,2068,4
1678,7444,4
10196,9816,4
713,687,4
4280,6921,5
7747,479,8
3536,3998,4
6176,7996,4
5325,4888,4
8294,5396,4
10900,10814,4
2191,7823,4
3093,5911,4
5777,5989,5
670,2635,4
1219,419,4
399,1545,5
1261,363,4
3947,2641,4
6937,6931,4
1012,3102,8
288,3695,4
4896,3442,4
2556,2869,6
6956,6930,7
7590,2797,4
3637,3629,4
3602,3696,4
5702,5757,4
11135,11188,4
11135,11136,4
11189,11106,4
3247,1011,5
8642,13946,4
7230,13946,4
6833,8650,5
10303,6749,4
5719,5701,4
11105,11126,4
11131,11193,4
11121,11136,4
11119,11132,4
5959,2693,5
894,3735,4
884,868,5
3702,3729,4
5390,1413,5
4441,4556,4
4294,4200,4
7369,6777,5
11714,11613,4
2831,2817,4
10000,9568,4
9896,9850,4
2226,3657,4
2776,1432,8
1074,2759,4
86,414,4
10809,4483,4
13215,3364,4
13862,13525,4
3907,5487,6
2036,2575,4
7662,3418,6
10384,211,5
2000,7336,4
2194,2625,4
3551,3515,5
1992,6575,4
9898,2054,4
7661,13556,4
5101,5111,10
10356,1677,5
4626,2469,4
3317,5112,4
9089,9076,4
8146,534,6
701,1143,4
7418,1042,4
3284,8786,5
4854,5418,5
7141,7149,6
4213,3932,4
1766,1332,6
1554,888,4
1452,876,5
7433,7180,4
876,7180,4
10604,10016,4
11909,5603,5
11552,11542,6
8095,6899,4
10357,9922,4
12539,3257,4
4192,4187,4
4082,5332,5
4923,4986,4
10779,10719,4
10701,10767,7
2354,1822,5
484,5503,5
3618,10714,4
10727,6560,4
1822,10785,6
4202,8729,4
9700,3064,5
10770,2945,4
4803,2336,4
10778,10780,4
10705,10741,4
10453,10483,5
10483,10456,5
10414,10486,4
10420,10474,4
10478,10459,4
2570,490,6
5847,233,4
1266,2895,4
12043,12073,4
9721,6523,4
12505,7924,4
478,11035,4
3904,3974,4
3916,3980,4
4307,4010,4
10402,10425,4
10458,10417,4
3940,3913,4
5304,4854,4
232,677,6
8230,1955,4
5764,3905,4
3734,5867,4
1078,3418,4
10322,398,4
4025,4029,4
1283,6024,5
10954,6706,5
5516,13565,4
14734,14791,4
381,341,5
4414,4464,4
4414,4484,4
2298,3556,4
1673,2655,5
4466,4415,4
4423,4460,4
2446,2418,4
2434,2457,4
9342,9382,4
10087,10082,4
8024,8690,4
760,1321,4
2418,2432,4
2440,2486,9
1057,1044,5
706,1053,4
1073,330,4
1073,382,6
330,1007,4
739,395,4
362,763,4
382,773,4
733,395,4
1013,1038,5
4454,4438,4
7582,9987,4
12221,12001,4
12401,603,4
374,766,4
7136,7128,5
5156,3779,4
8898,8872,4
3380,6553,4
1960,4068,4
5216,5204,4
5525,5589,7
5508,5589,4
9776,9746,4
9728,9753,5
9040,9072,4
6365,9028,5
3465,57,5
2696,947,4
1276,1850,4
12088,12859,4
2994,7555,4
5754,13284,5
10244,1769,4
7721,2069,4
4685,1769,4
5021,565,4
11895,11869,4
9974,7721,6
1592,3670,4
147,3295,5
2126,2154,4
2141,2173,4
239,219,4
2144,2129,4
2130,2122,4
5478,4388,5
4016,975,5
2941,2717,6
2511,5456,5
5432,2717,4
4309,915,7
5494,2867,5
5494,2969,5
5463,2959,4
4373,915,6
4316,4353,7
4083,5479,5
5448,5486,4
5471,5456,4
5468,5496,4
407,915,6
5456,5484,7
5486,5490,6
5486,2939,5
2789,915,6
1337,930,7
1337,5416,5
5419,5479,6
5419,5436,6
5402,5438,4
4066,2969,5
5416,5451,4
3686,2452,4
5419,1666,5
5479,5440,4
546,574,5
4726,4779,4
3106,1933,5
5286,1119,4
3345,1531,4
1138,7809,4
1041,4010,4
6987,728,4
4188,210,4
10058,7706,4
6522,728,4
1762,4010,5
614,3851,4
7677,4580,4
400,1378,5
10016,4580,4
10017,8912,4
2522,8594,4
6261,2214,4
4393,860,4
5209,2411,4
1762,5696,5
8365,1115,4
830,828,4
7800,7779,4
4827,8326,6
7331,7733,4
9619,622,5
4449,5683,7
7747,3021,9
11221,335,5
7023,10446,4
10154,5319,4
6321,4670,4
14703,14769,4
79,12144,4
9157,1992,4
14795,14741,4
14787,14747,4
8368,8328,4
2160,8317,4
14752,14725,4
2234,2201,4
2226,2207,4
7122,9940,4
9006,9084,5
9537,8836,6
8042,3527,4
3963,8019,4
2928,8078,4
745,2656,4
8552,8566,7
11808,10149,5
7395,4021,4
5405,11099,4
11876,213,5
6548,6528,4
6442,6335,4
5548,4784,4
6294,7820,7
2570,2521,5
3940,2560,7
205,3104,6
205,2514,4
3162,3180,6
1267,1266,4
932,11296,5
9828,4650,4
4453,11256,4
1678,11271,4
3585,3525,6
11025,1703,4
5876,3220,4
13492,13487,4
1830,1442,4
8552,1190,4
4881,3220,4
5249,569,5
388,9619,4
9664,6776,4
9610,4852,5
4329,9622,4
1646,1264,4
1677,230,4
3844,5359,4
1351,6735,4
4459,3936,4
5550,5560,4
13803,9991,5
5961,5963,4
13221,11911,4
1363,6485,4
2164,2194,4
11400,10097,4
5027,5547,5
1386,5547,4
11767,350,5
8981,1403,4
13160,11798,4
4587,3849,4
4583,4522,4
3865,3809,5
5931,1563,4
928,1322,4
933,915,5
933,2906,4
1310,2906,4
915,1370,4
437,4090,4
17,9111,4
11311,11353,4
3297,3180,5
2937,8234,4
7153,9282,4
7162,3611,4
10177,5538,4
11863,1173,4
4137,4712,4
8268,1173,4
262,3905,4
8017,3090,5
10899,8679,6
6007,6046,4
6069,6008,5
6049,6017,6
1548,1598,7
4933,6032,4
2760,5718,4
3182,2197,4
2197,3198,4
286,281,5
11366,11348,4
184,5500,4
6880,6836,5
5964,5761,5
4674,5993,4
4674,6069,6
3120,6063,5
6878,4412,4
5494,1619,4
4373,6884,4
2773,2294,7
6071,6874,4
6869,6827,5
5798,6836,4
6893,6832,5
6864,5720,4
6825,5724,4
6069,6853,4
6049,5966,4
5771,1884,4
6858,5706,4
5720,3544,4
5954,5706,7
4092,1475,4
6213,11100,4
4357,3360,4
5054,11683,4
2437,741,4
4637,4647,4
4690,4646,4
4656,4628,7
10507,5332,4
6703,5584,5
6703,7602,5
10270,10238,4
7950,10024,5
2054,2458,4
6114,9493,4
4917,4713,5
8684,5116,5
9493,7983,4
75,1812,4
6006,12050,4
443,3572,5
1427,4668,4
3829,5611,4
6251,9524,5
5760,9535,4
4376,910,4
3447,3426,4
382,9014,4
4391,1818,4
5665,5650,4
5628,5650,6
2072,53,6
12568,12533,4
430,401,5
12541,12583,4
1498,2767,4
1853,2792,6
3930,4957,4
4945,5467,4
4647,4300,4
3940,6092,4
1586,3861,4
391,2775,4
1662,1538,4
443,4914,5
4914,2560,4
3670,3998,4
4295,4430,4
10329,10597,4
11522,300,5
2957,935,4
11418,11137,4
2026,2082,5
3177,5668,5
6294,8450,5
378,8450,4
1903,4814,4
4161,171,4
9721,3549,4
9366,9507,4
4869,4880,4
4881,3883,4
4945,10234,4
7560,2437,4
11276,4451,6
8851,5277,5
5277,6777,4
10714,11817,4
10310,8163,4
6087,2939,5
451,8089,4
6020,6876,6
1569,5596,4
2262,6256,4
2713,11521,4
10083,1770,5
494,2528,4
3827,3859,4
347,8375,4
3411,3172,4
1225,3768,5
15158,15179,4
15160,15153,5
15179,15115,4
9987,481,4
5612,5662,4
6180,6126,5
901,95,7
5789,6796,5
3418,3735,4
1646,6745,4
5505,6703,4
7629,2906,4
441,3735,6
7685,2326,4
8510,8542,4
7889,7877,4
8946,8947,5
10673,10651,4
9027,9026,4
8529,7138,4
3570,3289,4
2464,3599,4
2425,3694,6
3694,4260,4
8983,5198,6
369,1009,4
7437,7433,4
7001,4556,4
9784,4541,4
2247,5037,5
6350,6314,4
9032,9073,4
